                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                            Survival
                                                                            Standard    Number    Number
                           Timelist         day     Survival    Failure      Error      Failed     Left

                             0.0000      0.0000       1.0000           0           0       0       471  
                             3.0000      3.0000       0.9830      0.0170     0.00595       8       463  
                             7.0000      7.0000       0.8958      0.1042      0.0141      49       419  
                            14.0000     12.0000       0.8765      0.1235      0.0152      58       405  
                            21.0000     21.0000       0.8721      0.1279      0.0154      60       389  
                            28.0000     21.0000       0.8721      0.1279      0.0154      60       378  
                            35.0000     35.0000       0.8651      0.1349      0.0158      63       356  
                            42.0000     39.0000       0.8625      0.1375      0.0160      64       314  
                            49.0000     39.0000       0.8625      0.1375      0.0160      64       272  
                            56.0000     39.0000       0.8625      0.1375      0.0160      64       226  


                                              Summary Statistics for Time Variable day

                                                         Quartile Estimates
 
                                                    Point         95% Confidence Interval
                                      Percent    Estimate    Transform      [Lower      Upper)

                                           75       .        LOGLOG          .           .    
                                           50       .        LOGLOG          .           .    
                                           25       .        LOGLOG          .           .    


                                                         Mean    Standard Error

                                                      34.8200            0.5042

NOTE: The mean survival time and its standard error were underestimated because the largest observation was censored and the 
      estimation was restricted to the largest event time.


                                       Summary of the Number of Censored and Uncensored Values
 
                                                                               Percent
                                                 Total  Failed    Censored    Censored

                                                   471      64         407       86.41
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left
                                  51.0000*           .           .           .      64       258  
                                  51.0000*           .           .           .      64       257  
                                  51.0000*           .           .           .      64       256  
                                  51.0000*           .           .           .      64       255  
                                  51.0000*           .           .           .      64       254  
                                  52.0000*           .           .           .      64       253  
                                  52.0000*           .           .           .      64       252  
                                  52.0000*           .           .           .      64       251  
                                  52.0000*           .           .           .      64       250  
                                  52.0000*           .           .           .      64       249  
                                  52.0000*           .           .           .      64       248  
                                  53.0000*           .           .           .      64       247  
                                  53.0000*           .           .           .      64       246  
                                  53.0000*           .           .           .      64       245  
                                  53.0000*           .           .           .      64       244  
                                  54.0000*           .           .           .      64       243  
                                  54.0000*           .           .           .      64       242  
                                  54.0000*           .           .           .      64       241  
                                  54.0000*           .           .           .      64       240  
                                  54.0000*           .           .           .      64       239  
                                  55.0000*           .           .           .      64       238  
                                  55.0000*           .           .           .      64       237  
                                  55.0000*           .           .           .      64       236  
                                  55.0000*           .           .           .      64       235  
                                  55.0000*           .           .           .      64       234  
                                  56.0000*           .           .           .      64       233  
                                  56.0000*           .           .           .      64       232  
                                  56.0000*           .           .           .      64       231  
                                  56.0000*           .           .           .      64       230  
                                  56.0000*           .           .           .      64       229  
                                  56.0000*           .           .           .      64       228  
                                  56.0000*           .           .           .      64       227  
                                  56.0000*           .           .           .      64       226  
                                  57.0000*           .           .           .      64       225  
                                  57.0000*           .           .           .      64       224  
                                  57.0000*           .           .           .      64       223  
                                  57.0000*           .           .           .      64       222  
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left

                                  57.0000*           .           .           .      64       221  
                                  58.0000*           .           .           .      64       220  
                                  58.0000*           .           .           .      64       219  
                                  58.0000*           .           .           .      64       218  
                                  59.0000*           .           .           .      64       217  
                                  59.0000*           .           .           .      64       216  
                                  59.0000*           .           .           .      64       215  
                                  59.0000*           .           .           .      64       214  
                                  60.0000*           .           .           .      64       213  
                                  60.0000*           .           .           .      64       212  
                                  60.0000*           .           .           .      64       211  
                                  60.0000*           .           .           .      64       210  
                                  60.0000*           .           .           .      64       209  
                                  60.0000*           .           .           .      64       208  
                                  60.0000*           .           .           .      64       207  
                                  60.0000*           .           .           .      64       206  
                                  60.0000*           .           .           .      64       205  
                                  60.0000*           .           .           .      64       204  
                                  61.0000*           .           .           .      64       203  
                                  61.0000*           .           .           .      64       202  
                                  61.0000*           .           .           .      64       201  
                                  61.0000*           .           .           .      64       200  
